laptop_ID,Company,Product,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price_euros,Cpu_Company,Memory_Amount,Memory_Type,SSD
1,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,Intel,128,SSD,1
2,Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,macOS,1.34,898.94,Intel,128,Flash,0
3,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,Intel HD Graphics 620,No OS,1.86,575.0,Intel,256,SSD,1
4,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.7GHz,16GB,AMD Radeon Pro 455,macOS,1.83,2537.45,Intel,512,SSD,1
5,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 3.1GHz,8GB,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,Intel,256,SSD,1
6,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,AMD Radeon R5,Windows 10,2.1,400.0,AMD,500,HDD,0
7,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.2GHz,16GB,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,Intel,256,Flash,0
8,Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8GB,Intel HD Graphics 6000,macOS,1.34,1158.7,Intel,256,Flash,0
9,Asus,ZenBook UX430UN,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,16GB,Nvidia GeForce MX150,Windows 10,1.3,1495.0,Intel,512,SSD,1
10,Acer,Swift 3,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8GB,Intel UHD Graphics 620,Windows 10,1.6,770.0,Intel,256,SSD,1
11,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,Intel HD Graphics 620,No OS,1.86,393.9,Intel,500,HDD,0
12,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,Intel HD Graphics 520,No OS,1.86,344.99,Intel,500,HDD,0
13,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.8GHz,16GB,AMD Radeon Pro 555,macOS,1.83,2439.97,Intel,256,SSD,1
14,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,AMD Radeon R5 M430,Windows 10,2.2,498.9,Intel,256,SSD,1
15,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M m3 1.2GHz,8GB,Intel HD Graphics 615,macOS,0.92,1262.4,Intel,256,SSD,1
16,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.3GHz,8GB,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,Intel,256,SSD,1
17,Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,AMD Radeon R5 M430,Windows 10,2.2,745.0,Intel,256,SSD,1
18,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.9GHz,16GB,AMD Radeon Pro 560,macOS,1.83,2858.0,Intel,512,SSD,1
